name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
MUTUNDU PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.1,36.93
MWAKITUTU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWACHABO,MWATATE,TAITA TAVETA,,-3.49,38.36
MLAWA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.41,38.36
MURERA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.11,36.94
MRURU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWACHABO,MWATATE,TAITA TAVETA,,-3.5,38.35
KIMBO PREP SCH - PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.12,36.96
CHOME PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.41,38.37
SECHU PRIMARY SCHOOL,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWACHABO,MWATATE,TAITA TAVETA,,-3.49,38.34
TOP EVER ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.96
SHIGARO PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.41,38.38
WUMARI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWACHABO,MWATATE,TAITA TAVETA,,-3.48,38.33
PRECIOUS CORNER STONE ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.13,36.95
ZARE PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.49,38.32
