name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
CHANGAMWE SDA PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.02,39.63
BETHSAIDA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.02,39.64
BIRIKANI CARE PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.02,39.63
ST. LUKES ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,CHINGA,OTHAYA,NYERI,,-0.58,36.86
GIFT SCHOOL  PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.63
ST. CONSOLATA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.63
ST PETER & PAUL PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,CHINGA,OTHAYA,NYERI,,-0.58,36.88
MIRACLE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.63
BLUE GATE PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.61,37.37
MARANATHA PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.63
ST IMMACULATE ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.62,37.36
JUA JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.62,37.36
ST. ANGELINE MARALUOT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.64
ST. PETERS PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.64
ST JOSEPH CATHOLIC KIMBIMBI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.62,37.37
ST. KEVIN MIKINDANI HILL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
GLORIOUS JUNIOR SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.62,37.37
MIKINDANI ROYAL COMPREHENSIVE SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4.01,39.63
LIVING WORD PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
ST CHRIS MWEA ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.64,37.39
ST AMBROSE ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,CHINGA,OTHAYA,NYERI,,-0.59,36.91
GREENVIEW SCHOOL,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.64,37.36
A.I.P.C.A BISHOP KIGUNDA ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,NYANGATI,MWEA,KIRINYAGA,,-0.61,37.35
ST. JUDE JUNIOR SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-4,39.63
FAITH JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.67,37.36
NAZARENE PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,MOMBASA,,-3.99,39.63
