name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
ACK EMMANUEL PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
GREENVIEW PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.02,35.79
NESWIN DAYSTAR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.75
JONACH CHRISTIAN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
ST TERESA PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
SIKINWO ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.56
ST MARY'S PAROCHIAL PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.02,35.81
KAPSERERE HIGHLAND ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.55
CRESCENT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.04,35.84
BRAIN HARVESTERS PR,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.06,35.54
EMMANUEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0,35.57
NYASITA ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSINONI,UNKNOWN,,-1.01,34.85
BETLA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.06,35.65
ARISE AND SHINE ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOIBORSOITO,NAROK,,-0.99,34.92
TRANSMARA HILLSPRINGS ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,POROKO,BOMET,,-0.96,34.89
GREEN ANGELS JUNIOR PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
FAITH JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
ZIWANI JUINIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.39
OASIS PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,TOWNSHIP,TRANS NZOIA,,0.04,36.38
ST MICHAEL JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,KITUI,,0.03,36.41
SUNSHINE MORNING STAR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,KITUI,,0.04,36.42
FALLING WATERS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
HEKIMA ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,KAPUNE,NYANZA,,-0.94,35
KINGS JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.34
NEW LIFE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.36
WORLD HOPE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.02,36.36
ST PAULS' ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
NENKAI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.73
SAMUEL KAMANDE MWAURA PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
KEENS ENOOSAEN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.72
JOHN PAUL II PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.35
EWASO NYIRO ELITE 'B' PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.35
ST PAULS NYAHURURU ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MAINA,NYANDARUA,,0.06,36.36
VALEY VIEW ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.04,36.32
HEROES PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.06,36.31
NYAHURURU VICTORY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.04,36.33
INDONYO PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,MASURURA,NYANZA,,-1.14,34.64
KERETO DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,NKARARO,NAROK,,-1.08,34.75
MUMMY'S JUNIOR PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.02,36.28
BETHAS ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.74
JUPITER ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MAINA,NYANDARUA,,0.05,36.35
MARAWAY ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OSUPUKO,NAROK SOUTH,LOWER MELILI,NAROK,,-1.15,35.75
BETHLEHEM MISSION ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,KAPKELEI,KERICHO,,-0.81,35.14
KIRICHA JUNIOR ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,KAPKELEI,KERICHO,,-0.79,35.16
SIGORIAN ACA.PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,KAPKELEI,KERICHO,,-0.81,35.16
TUMAINI ACA.PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,BINGWA,WEST POKOT,,-0.88,35.17
EMMANUEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,KAPKELEI,KERICHO,,-0.83,35.14
BETHEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,KAPKELEI,KERICHO,,-0.83,35.14
EXODUS JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,NDANAI,BOMET,,-0.85,35.13
HOLY FAMILY MONTESORI-SIONGIROI PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,SIONGIROI,BOMET,,-0.9,35.21
ST. THERESA'S PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,NDANAI,BOMET,,-0.84,35.1
NDANAI TOWNSHIP PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,NDANAI,BOMET,,-0.84,35.1
GOOWILL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,SIONGIROI,BOMET,,-0.91,35.21
KOISUNGUR ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,IRONG,BOMET,,0.68,35.5
KAMUNGEI CHRISTIAN PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,SIONGIROI,BOMET,,-0.94,35.22
KATALEL ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,IRONG,BOMET,,0.64,35.47
CHERIBO JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,NDANAI,BOMET,,-0.86,35.11
OUR LADY OF PEACE KAPLOMBOI PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,ABOSI,NYAMIRA,,-0.87,35.08
CHEBUNYO CHRISTIAN PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,CHEBUNYO,WEST POKOT,,-0.96,35.19
HERO ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,EMINING,MOGOTIO,KOIBOS SOI,UASIN GISHU,,0.3,35.92
SACHANGWAN ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,ABOSI,NYAMIRA,,-0.89,35.07
KIMUGUL CHRISTIAN ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,ABOSI,NYAMIRA,,-0.89,35.09
LOBOTIET CHRISTIAN PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,CHEBUNYO,WEST POKOT,,-0.94,35.16
GOOD SHEPHERD ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,CHEBUNYO,WEST POKOT,,-0.92,35.2
INFORLAN ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,BINGWA,WEST POKOT,,-0.85,35.17
OASIS HILLSIDE ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,EMINING,MOGOTIO,EMINING,BARINGO,,0.13,35.86
ST. PETER'S MONTESSORI JUNIOR ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,BINGWA,WEST POKOT,,-0.85,35.16
MAJOR CHEPKWONY VISION ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIGOR,CHEPALUNGU,SIGOR,WEST POKOT,,-0.92,35.3
RAMA ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIGOR,CHEPALUNGU,SIGOR,WEST POKOT,,-0.94,35.29
SOY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,EMINING,MOGOTIO,EMINING,BARINGO,,0.14,35.9
MERRYLN JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OLOLUNGA,NAROK SOUTH,OLKIRIANE,KAJIADO,,-1.15,35.75
SHANKOE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,SHANKOE,KAJIADO,,-0.98,34.8
OLKINYEI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,SHANKOE,KAJIADO,,-0.96,34.8
OLDONYO RASHA SDA PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OSUPUKO,NAROK SOUTH,OLENKULUO,KAJIADO,,-1.23,35.79
KENEWA PRECIOUS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,TORONGO,ELDAMA RAVINE,TORONGO,TRANS NZOIA,,0.17,35.62
ST. LUKES ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,NJIPSHIP,WEST POKOT,,-0.91,35.06
MAYIAN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OSUPUKO,NAROK SOUTH,NAROOSURA,NAROK,,-1.54,35.84
ST. CLAIRE GIRLS BOARDING & MIXED DAY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OSUPUKO,NAROK SOUTH,NAROOSURA,NAROK,,-1.54,35.86
ISOKON ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,OLORIEN,LAIKIPIA,,-1.31,34.87
ST. MARYS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,OLDONYO OROK,KAJIADO,,-1.34,34.79
SIMBOLEI JNR ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,TAMBACH,KEIYO NORTH,KAMOGICH,WEST POKOT,,0.64,35.52
MARANATHA ACADEMY (MOYOI),PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,MOYOI,WEST POKOT,,-1.23,34.8
KINYOR YESU ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,MOYOI,WEST POKOT,,-1.23,34.8
GIDEM ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,RAVINE,BARINGO,,0.11,35.82
SUNRISE ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,IRONG,BOMET,,0.67,35.51
SOMONIK ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,SAOS/KIBIAS,BOMET,,0.12,35.83
FATHER KAISER MEMORIAL ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,MOYOI,WEST POKOT,,-1.23,34.8
ANGATA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,ANGATA,KAJIADO,,-1.37,34.78
ANGATA BARRIKOI MARANATHA ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,LOLGORIAN,KILGORIS,ANGATA,KAJIADO,,-1.37,34.77
LISI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,,0.04,35.75
IMMACULATE MOTHER PAROCHIAL PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,,0.06,35.73
BETHANY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,,0.05,35.72
GREENVIEW ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,,0.05,35.73
ST. PETERS MONTESSORI PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KIRINDONI,KILGORIS,MURKAN,TRANS NZOIA,,-1.05,35.06
DIKIRR ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KIRINDONI,KILGORIS,EMURUA DIKIRR,NAROK,,-1.01,35.11
HOPE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MARA,NAROK SOUTH,SIANA,NAROK,,-1.51,35.34
KENYA FLOURSPAR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,SOY,KEIYO SOUTH,SOY,UASIN GISHU,,0.32,35.64
SOTIN ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,NDANAI,SOTIK,GELEGELE,BARINGO,,-0.85,35.07
OLBUTYO SUNRISE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,KONGASIS,KERICHO,,-0.85,35.27
BRIGHT ACADEMY PR,PRIMARY SCHOOL,PRIVATE,NAIROBI,NAIROBI,STAREHE,MATHARE,STAREHE,NAIROBI,,-1.26,36.85
ZASA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,MAKIMENY,TRANS NZOIA,,-0.84,35.2
KABOSON RIVER VIEW ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIGOR,CHEPALUNGU,KABOSON,BOMET,,-0.99,35.26
MOGOTIO LITTLE FRIENDS ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MOGOTIO,MOGOTIO,LEMBUS MOGOTIO,BARINGO,,-0.02,35.96
KIRAM ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MOGOTIO,MOGOTIO,LEMBUS MOGOTIO,BARINGO,,-0.03,35.96
EDEN ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,SIONGIROI,BOMET,,-0.9,35.25
IMARA ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIONGIROI,CHEPALUNGU,SIONGIROI,BOMET,,-0.89,35.21
NOAH'S ARK ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,SIGOR,CHEPALUNGU,KAPKESOSIO,TRANS NZOIA,,-0.88,35.28
CHEPKOK VISIONS PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MOGOTIO,MOGOTIO,KAPKECHUI,KERICHO,,0.05,36.01
GREENBELLS JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MOGOTIO,MOGOTIO,KOIBOS,UASIN GISHU,,0.27,36.05
"ST. PETER,S ACA. PRI SCH",PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,CHEBOIN,BOMET,,-0.82,35.37
LAKO ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KEMBU,NYAMIRA,,-0.82,35.4
DAMSIDE ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KEMBU,NYAMIRA,,-0.82,35.4
VISION OPENER ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KEMBU,NYAMIRA,,-0.8,35.43
ST. ANTONY MONTESSORI PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,TEGAT,TRANS NZOIA,,-0.79,35.45
ST. CATHERINE TEGAT AC. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,TEGAT,TRANS NZOIA,,-0.78,35.45
KIPKIPYOSIT ACA. PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,TEGAT,TRANS NZOIA,,-0.77,35.48
AFLOSA JUNIOR ACDEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KAPKIMOLWA,TRANS NZOIA,,-0.9,35.41
FOUNTAIN GATE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KIPLABOTWA,TRANS NZOIA,,-0.94,35.42
SOT ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,CHEBOIN,BOMET,,-0.86,35.39
ST. PHILLIPS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KEMBU,NYAMIRA,,-0.83,35.44
ST. ANDREWS AITONG PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MARA,NAROK SOUTH,AITONG,NAROK,,-1.19,35.25
OLKIMATARE PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OLOLUNGA,NAROK SOUTH,LEMEK,NAROK,,-1.16,35.24
CHEMANER VISIONARY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,CHEMANER,BOMET,,-0.8,35.49
REHOBOTH ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,EASTERN,MACHAKOS,MAVOKO,KATANI,KATHIANI,MACHAKOS,,-1.4,36.95
ST. THERESA'S ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,CHEMANER,BOMET,,-0.8,35.49
ASIANTE ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BARINGO,MOCHONGOI,BARINGO CENTRAL,MOCHONGOI,BARINGO,,0.32,36.23
NURU JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KIMUNCHUL,TRANS NZOIA,,-0.81,35.51
WINNER'S ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,LONGISA,BOMET,KIMUNCHUL,TRANS NZOIA,,-0.78,35.51
SACRED HEART ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,IRONG,BOMET,,0.68,35.5
SOGOO TOWNSHIP PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,SOGOO,BOMET,,-0.83,35.58
SOGOO JNR ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,SOGOO,BOMET,,-0.84,35.58
SIGITO BOARDING ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,BOMET CENTRAL,BOMET,MERIGI,LAIKIPIA,,-0.77,35.4
NKARONI MERCY ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,SOGOO,BOMET,,-0.84,35.63
BREDALS JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,BOMET CENTRAL,BOMET,MERIGI,LAIKIPIA,,-0.78,35.41
KIMOGORO TF JNR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,SOGOO,BOMET,,-0.86,35.59
SALABA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,IRONG,BOMET,,0.65,35.48
ILMOTIOOK ST PAUL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,ILMOTIOK,LAIKIPIA,,-0.86,35.52
STARLIGHT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,ILMOTIOK,LAIKIPIA,,-0.86,35.52
TOGONDA PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,BOMET CENTRAL,BOMET,KIROMWOK,TRANS NZOIA,,-0.77,35.45
MENET ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,BOMET CENTRAL,BOMET,KIROMWOK,TRANS NZOIA,,-0.76,35.45
KAPKOMOL HIGH FIELD ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,MUTEI,TRANS NZOIA,,0.61,35.49
OLALA JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,MULOT,NAROK SOUTH,MULOT,NAROK,,-0.9,35.49
VICTORY EDUCATIONAL CENTRE PRIMARY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,MUTEI,TRANS NZOIA,,0.57,35.48
DAVSI ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,BOMET,BOMET CENTRAL,BOMET,KIROMWOK,TRANS NZOIA,,-0.74,35.43
ST PETERS ACADEMY PR,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,KAMARINY,KEIYO NORTH,MUTEI,TRANS NZOIA,,0.53,35.5
